,H3BO3[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],OD340,OD340_pred,OD340_std,OD340_cv_pred,OD340_cv_std,Label
0,0.019871,0.205718,2.36508,0.021243,6.375749,4.320423,21.652901,2.3e-05,0.001306,0.0001,0.0008,0.0001,0.2076,0.21647069685790804,0.0711799342074945,0.21330318872158205,0.06283841387120419,standard
1,0.019871,0.205718,2.36508,0.021243,6.375749,4.320423,21.652901,2.3e-05,0.001306,0.0001,0.0008,0.0001,0.2149,0.21647069685790804,0.0711799342074945,0.21330318872158205,0.06283841387120419,standard
2,0.019871,0.205718,2.36508,0.021243,6.375749,4.320423,21.652901,2.3e-05,0.001306,0.0001,0.0008,0.0001,0.2124,0.21647069685790804,0.0711799342074945,0.21330318872158205,0.06283841387120419,standard
3,0.003918,1.883663,0.799089,0.009532,8.860595,3.425574,15.010088,0.000102,0.000255,0.0001,0.0008,0.0001,0.1859,0.19137336295420185,0.07127224491026707,0.2023962288502758,0.07873880650691661,standard
4,0.000928,0.114704,0.749104,0.024392,8.910734,3.278069,39.314072,0.000245,0.001165,0.0001,0.0008,0.0001,0.2294,0.20453133157743228,0.07130366028598958,0.2088168132147488,0.07067861051438781,standard
5,0.000928,0.114704,0.749104,0.024392,8.910734,3.278069,39.314072,0.000245,0.001165,0.0001,0.0008,0.0001,0.1602,0.20453133157743228,0.07130366028598958,0.2088168132147488,0.07067861051438781,standard
6,0.003146,0.155317,1.193659,0.007361,6.570764,2.934664,102.500341,1.4e-05,0.000228,0.0001,0.0008,0.0001,0.332,0.3025144924173895,0.07143289976814433,0.2017522666557015,0.06340043071025023,standard
7,0.003146,0.155317,1.193659,0.007361,6.570764,2.934664,102.500341,1.4e-05,0.000228,0.0001,0.0008,0.0001,0.3046,0.3025144924173895,0.07143289976814433,0.2017522666557015,0.06340043071025023,standard
8,0.003146,0.155317,1.193659,0.007361,6.570764,2.934664,102.500341,1.4e-05,0.000228,0.0001,0.0008,0.0001,0.3278,0.3025144924173895,0.07143289976814433,0.2017522666557015,0.06340043071025023,standard
9,0.000661,0.072109,0.670998,0.003174,10.235412,0.328586,69.706045,2.5e-05,0.000231,0.0001,0.0008,0.0001,0.2919,0.27279706944786186,0.07120736951367365,0.2991965943985178,0.07079825182414759,standard
10,0.000661,0.072109,0.670998,0.003174,10.235412,0.328586,69.706045,2.5e-05,0.000231,0.0001,0.0008,0.0001,0.2755,0.27279706944786186,0.07120736951367365,0.2991965943985178,0.07079825182414759,standard
11,0.000661,0.072109,0.670998,0.003174,10.235412,0.328586,69.706045,2.5e-05,0.000231,0.0001,0.0008,0.0001,0.2614,0.27279706944786186,0.07120736951367365,0.2991965943985178,0.07079825182414759,standard
