Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL],order
P3,A1,P2,A1,547.3296983153324,1
P3,A1,P2,B1,547.3296983153324,1
P3,A1,P2,C1,547.3296983153324,1
P3,A1,P2,D1,471.2192405989455,1
P3,A1,P2,E1,471.2192405989455,1
P3,A1,P2,F1,471.2192405989455,1
P3,A1,P2,A2,500.92646708184225,1
P3,A1,P2,B2,500.92646708184225,1
P3,A1,P2,C2,500.92646708184225,1
P3,A1,P2,D2,589.9425382368509,1
P3,A1,P2,E2,589.9425382368509,1
P3,A1,P2,F2,589.9425382368509,1
P3,A1,P2,A3,606.3834140726158,1
P3,A1,P2,B3,606.3834140726158,1
P3,A1,P2,C3,606.3834140726158,1
P3,A1,P2,D3,619.9915170051444,1
P3,A1,P2,E3,619.9915170051444,1
P3,A1,P2,F3,619.9915170051444,1
P3,A1,P2,A4,506.20929975487365,1
P3,A1,P2,B4,506.20929975487365,1
P3,A1,P2,C4,506.20929975487365,1
P3,A1,P2,D4,628.0383700738314,1
P3,A1,P2,E4,628.0383700738314,1
P3,A1,P2,F4,628.0383700738314,1
P3,A1,P2,A5,457.4596330471187,1
P3,A1,P2,B5,457.4596330471187,1
P3,A1,P2,C5,457.4596330471187,1
P3,A1,P2,D5,537.9486001288403,1
P3,A1,P2,E5,537.9486001288403,1
P3,A1,P2,F5,537.9486001288403,1
P3,A1,P2,A6,809.1265597321615,1
P3,A1,P2,B6,809.1265597321615,1
P3,A1,P2,C6,809.1265597321615,1
P3,A1,P2,D6,621.614698972324,1
P3,A1,P2,E6,621.614698972324,1
P3,A1,P2,F6,621.614698972324,1
P3,A1,P2,A7,757.7541573026558,1
P3,A1,P2,B7,757.7541573026558,1
P3,A1,P2,C7,757.7541573026558,1
P3,A1,P2,D7,797.9784651047717,1
P3,A1,P2,E7,797.9784651047717,1
P3,A1,P2,F7,797.9784651047717,1
P3,A1,P2,A8,774.6600356178475,1
P3,A1,P2,B8,774.6600356178475,1
P3,A1,P2,C8,774.6600356178475,1
P3,A1,P2,D8,938.6908333885319,1
P3,A1,P2,E8,938.6908333885319,1
P3,A1,P2,F8,938.6908333885319,1
