Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,186.31343758003774
P3,A1,P2,A1,186.31343758003774
P3,A1,P2,A1,186.31343758003774
P3,A1,P2,A1,186.31343758003774
P3,A1,P2,A2,186.31343758003774
P3,A1,P2,A2,186.31343758003774
P3,A1,P2,A2,186.31343758003774
P3,A1,P2,A2,186.31343758003774
P3,A1,P2,A3,186.31343758003774
P3,A1,P2,A3,186.31343758003774
P3,A1,P2,A3,186.31343758003774
P3,A1,P2,A3,186.31343758003774
P3,A1,P2,A4,172.66181180477602
P3,A1,P2,A4,172.66181180477602
P3,A1,P2,A4,172.66181180477602
P3,A1,P2,A4,172.66181180477602
P3,A1,P2,A5,172.66181180477602
P3,A1,P2,A5,172.66181180477602
P3,A1,P2,A5,172.66181180477602
P3,A1,P2,A5,172.66181180477602
P3,A1,P2,A6,172.66181180477602
P3,A1,P2,A6,172.66181180477602
P3,A1,P2,A6,172.66181180477602
P3,A1,P2,A6,172.66181180477602
P3,A1,P2,A7,157.7653830335601
P3,A1,P2,A7,157.7653830335601
P3,A1,P2,A7,157.7653830335601
P3,A1,P2,A7,157.7653830335601
P3,A1,P2,A7,157.7653830335601
P3,A1,P2,A8,157.7653830335601
P3,A1,P2,A8,157.7653830335601
P3,A1,P2,A8,157.7653830335601
P3,A1,P2,A8,157.7653830335601
P3,A1,P2,A8,157.7653830335601
P3,A1,P2,B1,157.7653830335601
P3,A1,P2,B1,157.7653830335601
P3,A1,P2,B1,157.7653830335601
P3,A1,P2,B1,157.7653830335601
P3,A1,P2,B1,157.7653830335601
P3,A1,P2,B2,178.48826647638737
P3,A1,P2,B2,178.48826647638737
P3,A1,P2,B2,178.48826647638737
P3,A1,P2,B2,178.48826647638737
P3,A1,P2,B3,178.48826647638737
P3,A1,P2,B3,178.48826647638737
P3,A1,P2,B3,178.48826647638737
P3,A1,P2,B3,178.48826647638737
P3,A1,P2,B4,178.48826647638737
P3,A1,P2,B4,178.48826647638737
P3,A1,P2,B4,178.48826647638737
P3,A1,P2,B4,178.48826647638737
P3,A1,P2,B5,167.95674703729085
P3,A1,P2,B5,167.95674703729085
P3,A1,P2,B5,167.95674703729085
P3,A1,P2,B5,167.95674703729085
P3,A1,P2,B5,167.95674703729085
P3,A1,P2,B5,167.95674703729085
P3,A1,P2,B6,167.95674703729085
P3,A1,P2,B6,167.95674703729085
P3,A1,P2,B6,167.95674703729085
