Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,B1,P2,A1,15.0
P1,B1,P2,A2,15.0
P1,B1,P2,A3,15.0
P1,B1,P2,A4,15.0
P1,B1,P2,A5,15.0
P1,B1,P2,A6,15.0
P1,B1,P2,A7,15.0
P1,B1,P2,A8,15.0
P1,B1,P2,B1,15.0
P1,B1,P2,B2,15.0
P1,B1,P2,B3,15.0
P1,B1,P2,B4,15.0
P1,B1,P2,B5,15.0
P1,B1,P2,B6,15.0
P1,B1,P2,B7,15.0
P1,B1,P2,B8,15.0
P1,B1,P2,C1,15.0
P1,B1,P2,C2,15.0
P1,B1,P2,C3,15.0
P1,B1,P2,C4,15.0
P1,B1,P2,C5,15.0
P1,B1,P2,C6,15.0
P1,B1,P2,C7,15.0
P1,B1,P2,C8,15.0
P1,B1,P2,D1,15.0
P1,B1,P2,D2,15.0
P1,B1,P2,D3,15.0
P1,B1,P2,D4,15.0
P1,B1,P2,D5,15.0
P1,B1,P2,D6,15.0
P1,B1,P2,D7,15.0
P1,B1,P2,D8,15.0
P1,B1,P2,E1,15.0
P1,B1,P2,E2,15.0
P1,B1,P2,E3,15.0
P1,B1,P2,E4,15.0
P1,B1,P2,E5,15.0
P1,B1,P2,E6,15.0
P1,B1,P2,E7,15.0
P1,B1,P2,E8,15.0
P1,B1,P2,F1,15.0
P1,B1,P2,F2,15.0
P1,B1,P2,F3,15.0
P1,B1,P2,F4,15.0
P1,B1,P2,F5,15.0
P1,B1,P2,F6,15.0
P1,B1,P2,F7,15.0
P1,B1,P2,F8,15.0
P1,C1,P2,A1,22.854689094657065
P1,C1,P2,A2,22.854689094657065
P1,C1,P2,A3,22.854689094657065
P1,C1,P2,B2,20.421456886686187
P1,C1,P2,B3,20.421456886686187
P1,C1,P2,B4,20.421456886686187
P1,C1,P2,B5,14.211105434337124
P1,C1,P2,B6,14.211105434337124
P1,C1,P2,B7,14.211105434337124
P1,C1,P2,B8,17.388481530443812
P1,C1,P2,C1,17.388481530443812
P1,C1,P2,C2,17.388481530443812
P1,C1,P2,C3,7.236252576437813
P1,C1,P2,C4,7.236252576437813
P1,C1,P2,C5,7.236252576437813
P4,A1,P2,D1,17.930066347415
P4,A1,P2,D2,17.930066347415
P4,A1,P2,D3,17.930066347415
P4,A1,P2,D4,27.073824008560003
P4,A1,P2,D5,27.073824008560003
P4,A1,P2,D6,27.073824008560003
P1,C1,P2,D7,14.511423354620627
P1,C1,P2,D8,14.511423354620627
P1,C1,P2,E1,14.511423354620627
P1,C1,P2,E2,10.546371853994875
P1,C1,P2,E3,10.546371853994875
P1,C1,P2,E4,10.546371853994875
P4,A1,P2,E5,6.764193238322501
P4,A1,P2,E6,6.764193238322501
P4,A1,P2,E7,6.764193238322501
P1,C1,P2,E8,9.014484460237126
P1,C1,P2,F1,9.014484460237126
P1,C1,P2,F2,9.014484460237126
P4,A1,P2,F3,16.437658930250002
P4,A1,P2,F4,16.437658930250002
P4,A1,P2,F5,16.437658930250002
P1,D1,P2,A1,10.0
P1,D1,P2,A2,10.0
P1,D1,P2,A3,10.0
P1,D1,P2,A4,10.0
P1,D1,P2,A5,10.0
P1,D1,P2,A6,10.0
P1,D1,P2,A7,10.0
P1,D1,P2,A8,10.0
P1,D1,P2,B1,10.0
P1,D1,P2,B2,10.0
P1,D1,P2,B3,10.0
P1,D1,P2,B4,10.0
P1,D1,P2,B5,10.0
P1,D1,P2,B6,10.0
P1,D1,P2,B7,10.0
P1,D1,P2,B8,10.0
P1,D1,P2,C1,10.0
P1,D1,P2,C2,10.0
P1,D1,P2,C3,10.0
P1,D1,P2,C4,10.0
P1,D1,P2,C5,10.0
P1,D1,P2,C6,10.0
P1,D1,P2,C7,10.0
P1,D1,P2,C8,10.0
P1,D1,P2,D1,10.0
P1,D1,P2,D2,10.0
P1,D1,P2,D3,10.0
P1,D1,P2,D4,10.0
P1,D1,P2,D5,10.0
P1,D1,P2,D6,10.0
P1,D1,P2,D7,10.0
P1,D1,P2,D8,10.0
P1,D1,P2,E1,10.0
P1,D1,P2,E2,10.0
P1,D1,P2,E3,10.0
P1,D1,P2,E4,10.0
