Well,index,H3BO3[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],OD340_pred,OD340_std,Label
A1,0.0,0.0013423099475313436,0.7203927365428741,11.575897458006432,0.004724123036015471,46.93347816314177,0.17499434046045156,199.10372076674355,4.6318408707024536e-05,0.00035033043527489446,0.004754804264545681,0.007046098542818134,9.988315645923322e-05,54.06175420748171,11.131440332737217,explore
B1,0.0,0.0013423099475313436,0.7203927365428741,11.575897458006432,0.004724123036015471,46.93347816314177,0.17499434046045156,199.10372076674355,4.6318408707024536e-05,0.00035033043527489446,0.004754804264545681,0.007046098542818134,9.988315645923322e-05,54.06175420748171,11.131440332737217,explore
C1,0.0,0.0013423099475313436,0.7203927365428741,11.575897458006432,0.004724123036015471,46.93347816314177,0.17499434046045156,199.10372076674355,4.6318408707024536e-05,0.00035033043527489446,0.004754804264545681,0.007046098542818134,9.988315645923322e-05,54.06175420748171,11.131440332737217,explore
D1,1.0,0.0016610425603393072,0.6902092333366502,11.359490647225979,0.006795132800538867,46.38282052768492,0.18044461764763284,199.67982954340704,3.927163171795597e-05,0.0005446104264711781,0.004857844788355622,0.0074091889553564464,7.559832686603072e-05,54.57720201303903,11.052985009653817,explore
E1,1.0,0.0016610425603393072,0.6902092333366502,11.359490647225979,0.006795132800538867,46.38282052768492,0.18044461764763284,199.67982954340704,3.927163171795597e-05,0.0005446104264711781,0.004857844788355622,0.0074091889553564464,7.559832686603072e-05,54.57720201303903,11.052985009653817,explore
F1,1.0,0.0016610425603393072,0.6902092333366502,11.359490647225979,0.006795132800538867,46.38282052768492,0.18044461764763284,199.67982954340704,3.927163171795597e-05,0.0005446104264711781,0.004857844788355622,0.0074091889553564464,7.559832686603072e-05,54.57720201303903,11.052985009653817,explore
A2,2.0,0.0016006881740056084,0.684842727619353,11.503948606683817,0.006215596382114732,46.42327237337687,0.26143886486427215,192.07452474767976,4.156283325607384e-05,0.000536029542379533,0.004882972594649168,0.006743962688164775,7.226284768330683e-05,54.042473351237035,11.095410111795948,explore
B2,2.0,0.0016006881740056084,0.684842727619353,11.503948606683817,0.006215596382114732,46.42327237337687,0.26143886486427215,192.07452474767976,4.156283325607384e-05,0.000536029542379533,0.004882972594649168,0.006743962688164775,7.226284768330683e-05,54.042473351237035,11.095410111795948,explore
C2,2.0,0.0016006881740056084,0.684842727619353,11.503948606683817,0.006215596382114732,46.42327237337687,0.26143886486427215,192.07452474767976,4.156283325607384e-05,0.000536029542379533,0.004882972594649168,0.006743962688164775,7.226284768330683e-05,54.042473351237035,11.095410111795948,explore
D2,3.0,0.007852981822034063,0.3208408266433532,11.492617764067282,0.0060303477097932,44.625227275537235,0.18798132592953548,197.79233456109372,3.579731085191769e-05,0.0003921420570000095,0.00459048097720404,0.007262046066389235,0.0011470165343506812,53.909132485917155,11.06488315962113,explore
E2,3.0,0.007852981822034063,0.3208408266433532,11.492617764067282,0.0060303477097932,44.625227275537235,0.18798132592953548,197.79233456109372,3.579731085191769e-05,0.0003921420570000095,0.00459048097720404,0.007262046066389235,0.0011470165343506812,53.909132485917155,11.06488315962113,explore
F2,3.0,0.007852981822034063,0.3208408266433532,11.492617764067282,0.0060303477097932,44.625227275537235,0.18798132592953548,197.79233456109372,3.579731085191769e-05,0.0003921420570000095,0.00459048097720404,0.007262046066389235,0.0011470165343506812,53.909132485917155,11.06488315962113,explore
A3,4.0,0.008116217930847287,0.873950312659105,11.491926975092179,0.005056977970120049,44.62549655505148,0.17512796844908712,197.79232863734188,2.5395082641117938e-05,0.0003855185148126549,0.004784180061153249,0.007041437431478061,0.0011739874616506552,53.84511255386633,11.055749907220944,explore
B3,4.0,0.008116217930847287,0.873950312659105,11.491926975092179,0.005056977970120049,44.62549655505148,0.17512796844908712,197.79232863734188,2.5395082641117938e-05,0.0003855185148126549,0.004784180061153249,0.007041437431478061,0.0011739874616506552,53.84511255386633,11.055749907220944,explore
C3,4.0,0.008116217930847287,0.873950312659105,11.491926975092179,0.005056977970120049,44.62549655505148,0.17512796844908712,197.79232863734188,2.5395082641117938e-05,0.0003855185148126549,0.004784180061153249,0.007041437431478061,0.0011739874616506552,53.84511255386633,11.055749907220944,explore
D3,5.0,0.017381673312293632,0.3784888053979939,12.891117924366304,0.021220363796706467,47.008024966447536,0.4330465138368542,273.3150275737629,0.0001716252032622961,0.0027010314936191607,0.0026835590101982327,0.012499403528605312,0.0012460353109033007,54.265009707133935,10.988742826728915,explore
E3,5.0,0.017381673312293632,0.3784888053979939,12.891117924366304,0.021220363796706467,47.008024966447536,0.4330465138368542,273.3150275737629,0.0001716252032622961,0.0027010314936191607,0.0026835590101982327,0.012499403528605312,0.0012460353109033007,54.265009707133935,10.988742826728915,explore
F3,5.0,0.017381673312293632,0.3784888053979939,12.891117924366304,0.021220363796706467,47.008024966447536,0.4330465138368542,273.3150275737629,0.0001716252032622961,0.0027010314936191607,0.0026835590101982327,0.012499403528605312,0.0012460353109033007,54.265009707133935,10.988742826728915,explore
A4,6.0,0.0016674917008015423,0.721482888700367,11.492117280089296,0.00476863911000503,44.62542139891136,0.17866411693079054,197.7923302897082,3.3087478087644957e-05,0.00039224638954818604,0.004719517789371336,0.0070411680849216726,0.001163878035023668,53.86603693587193,11.04518153585674,explore
B4,6.0,0.0016674917008015423,0.721482888700367,11.492117280089296,0.00476863911000503,44.62542139891136,0.17866411693079054,197.7923302897082,3.3087478087644957e-05,0.00039224638954818604,0.004719517789371336,0.0070411680849216726,0.001163878035023668,53.86603693587193,11.04518153585674,explore
C4,6.0,0.0016674917008015423,0.721482888700367,11.492117280089296,0.00476863911000503,44.62542139891136,0.17866411693079054,197.7923302897082,3.3087478087644957e-05,0.00039224638954818604,0.004719517789371336,0.0070411680849216726,0.001163878035023668,53.86603693587193,11.04518153585674,explore
D4,0.0,0.012617010968244418,0.9550092440993074,3.953914719959258,0.027790527292677867,11.258373352674353,0.3984389672785002,305.8485781105324,0.00010530397029953877,0.000539589024381308,0.002799661128777966,0.010802090791589185,0.0011701232287003715,60.01655312905899,9.256333026225178,exploit
E4,0.0,0.012617010968244418,0.9550092440993074,3.953914719959258,0.027790527292677867,11.258373352674353,0.3984389672785002,305.8485781105324,0.00010530397029953877,0.000539589024381308,0.002799661128777966,0.010802090791589185,0.0011701232287003715,60.01655312905899,9.256333026225178,exploit
F4,0.0,0.012617010968244418,0.9550092440993074,3.953914719959258,0.027790527292677867,11.258373352674353,0.3984389672785002,305.8485781105324,0.00010530397029953877,0.000539589024381308,0.002799661128777966,0.010802090791589185,0.0011701232287003715,60.01655312905899,9.256333026225178,exploit
A5,1.0,0.012751840556857512,0.8310585134745891,4.608710387425075,0.04860010767238712,11.417979196764424,0.4436939396009675,260.35958581574886,3.194369131831434e-05,0.0010879923675449882,0.002126170683112021,0.0043064316710678206,0.00013886314637301083,59.954489044263454,9.219365736594096,exploit
B5,1.0,0.012751840556857512,0.8310585134745891,4.608710387425075,0.04860010767238712,11.417979196764424,0.4436939396009675,260.35958581574886,3.194369131831434e-05,0.0010879923675449882,0.002126170683112021,0.0043064316710678206,0.00013886314637301083,59.954489044263454,9.219365736594096,exploit
C5,1.0,0.012751840556857512,0.8310585134745891,4.608710387425075,0.04860010767238712,11.417979196764424,0.4436939396009675,260.35958581574886,3.194369131831434e-05,0.0010879923675449882,0.002126170683112021,0.0043064316710678206,0.00013886314637301083,59.954489044263454,9.219365736594096,exploit
D5,2.0,0.012754137226583473,0.8310585908689433,4.608710396752921,0.04859952558193375,11.417979192097453,0.4436938982287732,260.35958581538813,3.095427816931428e-05,0.001063505711918124,0.002680748923479825,0.004312113336996321,0.00013048533055249727,59.95344236276014,9.219107964324603,exploit
E5,2.0,0.012754137226583473,0.8310585908689433,4.608710396752921,0.04859952558193375,11.417979192097453,0.4436938982287732,260.35958581538813,3.095427816931428e-05,0.001063505711918124,0.002680748923479825,0.004312113336996321,0.00013048533055249727,59.95344236276014,9.219107964324603,exploit
F5,2.0,0.012754137226583473,0.8310585908689433,4.608710396752921,0.04859952558193375,11.417979192097453,0.4436938982287732,260.35958581538813,3.095427816931428e-05,0.001063505711918124,0.002680748923479825,0.004312113336996321,0.00013048533055249727,59.95344236276014,9.219107964324603,exploit
A6,3.0,0.01285732276151186,0.8220339258257006,4.815662873776396,0.04937316076576517,11.120574347623666,0.46688697948007785,273.492434634426,3.1757473675997156e-05,0.0009240148857305715,0.0022619962775740853,0.003518872553297506,0.00010206999230566979,59.94281199546767,9.221335787629847,exploit
B6,3.0,0.01285732276151186,0.8220339258257006,4.815662873776396,0.04937316076576517,11.120574347623666,0.46688697948007785,273.492434634426,3.1757473675997156e-05,0.0009240148857305715,0.0022619962775740853,0.003518872553297506,0.00010206999230566979,59.94281199546767,9.221335787629847,exploit
C6,3.0,0.01285732276151186,0.8220339258257006,4.815662873776396,0.04937316076576517,11.120574347623666,0.46688697948007785,273.492434634426,3.1757473675997156e-05,0.0009240148857305715,0.0022619962775740853,0.003518872553297506,0.00010206999230566979,59.94281199546767,9.221335787629847,exploit
D6,4.0,0.012857330736511956,0.8220339250284788,4.815662873830764,0.04937316512570626,11.12057434756074,0.4668869802446557,273.4924346344305,3.170331963068018e-05,0.0009237085749478021,0.002261641760010863,0.0035188644936217485,7.837744180365282e-05,59.94252501893398,9.221305910313804,exploit
E6,4.0,0.012857330736511956,0.8220339250284788,4.815662873830764,0.04937316512570626,11.12057434756074,0.4668869802446557,273.4924346344305,3.170331963068018e-05,0.0009237085749478021,0.002261641760010863,0.0035188644936217485,7.837744180365282e-05,59.94252501893398,9.221305910313804,exploit
F6,4.0,0.012857330736511956,0.8220339250284788,4.815662873830764,0.04937316512570626,11.12057434756074,0.4668869802446557,273.4924346344305,3.170331963068018e-05,0.0009237085749478021,0.002261641760010863,0.0035188644936217485,7.837744180365282e-05,59.94252501893398,9.221305910313804,exploit
A7,5.0,0.009752738276028695,0.9624045448465375,3.712992648481122,0.020577527463943333,11.506382444808162,0.4316643460213332,329.3685350389288,9.483909899029952e-05,0.0008630405482259542,0.0030945798773533936,0.011388460203180037,0.00133499112938254,59.79530372340441,9.252552487241609,exploit
B7,5.0,0.009752738276028695,0.9624045448465375,3.712992648481122,0.020577527463943333,11.506382444808162,0.4316643460213332,329.3685350389288,9.483909899029952e-05,0.0008630405482259542,0.0030945798773533936,0.011388460203180037,0.00133499112938254,59.79530372340441,9.252552487241609,exploit
C7,5.0,0.009752738276028695,0.9624045448465375,3.712992648481122,0.020577527463943333,11.506382444808162,0.4316643460213332,329.3685350389288,9.483909899029952e-05,0.0008630405482259542,0.0030945798773533936,0.011388460203180037,0.00133499112938254,59.79530372340441,9.252552487241609,exploit
D7,6.0,0.011681254118779136,0.6597523915460302,4.567231790712328,0.03277863716687873,12.042926923071267,0.4912631717748716,308.05219875444874,6.518615600675161e-05,0.0008399075689795041,0.0012085834740500085,0.010633785514466454,0.00021642820839488087,59.72281669360621,9.20981313423656,exploit
E7,6.0,0.011681254118779136,0.6597523915460302,4.567231790712328,0.03277863716687873,12.042926923071267,0.4912631717748716,308.05219875444874,6.518615600675161e-05,0.0008399075689795041,0.0012085834740500085,0.010633785514466454,0.00021642820839488087,59.72281669360621,9.20981313423656,exploit
F7,6.0,0.011681254118779136,0.6597523915460302,4.567231790712328,0.03277863716687873,12.042926923071267,0.4912631717748716,308.05219875444874,6.518615600675161e-05,0.0008399075689795041,0.0012085834740500085,0.010633785514466454,0.00021642820839488087,59.72281669360621,9.20981313423656,exploit
A8,7.0,0.009477831027973317,0.9611917501383124,3.9591961537065465,0.02349905988528227,11.240618041991013,0.3980453461942712,319.3576104516682,8.822449757774374e-05,0.0004901526610046861,0.0027629195506911025,0.01032424145603278,0.0012371303056921536,59.68890195814727,9.224797293198094,exploit
B8,7.0,0.009477831027973317,0.9611917501383124,3.9591961537065465,0.02349905988528227,11.240618041991013,0.3980453461942712,319.3576104516682,8.822449757774374e-05,0.0004901526610046861,0.0027629195506911025,0.01032424145603278,0.0012371303056921536,59.68890195814727,9.224797293198094,exploit
C8,7.0,0.009477831027973317,0.9611917501383124,3.9591961537065465,0.02349905988528227,11.240618041991013,0.3980453461942712,319.3576104516682,8.822449757774374e-05,0.0004901526610046861,0.0027629195506911025,0.01032424145603278,0.0012371303056921536,59.68890195814727,9.224797293198094,exploit
D8,,0.0037108505652022144,0.3113206797255127,1.4280142493087153,0.009685730533409206,9.543421411419422,0.568947761458587,54.13370025123394,3.011258383186981e-05,0.00028883581916976683,0.00010322462660719552,0.0007328173955695933,0.00010528221570880119,29.22176475778201,9.072785173047418,standard
E8,,0.0037108505652022144,0.3113206797255127,1.4280142493087153,0.009685730533409206,9.543421411419422,0.568947761458587,54.13370025123394,3.011258383186981e-05,0.00028883581916976683,0.00010322462660719552,0.0007328173955695933,0.00010528221570880119,29.22176475778201,9.072785173047418,standard
F8,,0.0037108505652022144,0.3113206797255127,1.4280142493087153,0.009685730533409206,9.543421411419422,0.568947761458587,54.13370025123394,3.011258383186981e-05,0.00028883581916976683,0.00010322462660719552,0.0007328173955695933,0.00010528221570880119,29.22176475778201,9.072785173047418,standard
