Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.2941176470587,15.0,12.419645763057376,10.0,7.093730050714255,8.958635279868778,5.3106746068833255,4.981054040853446,415.42524286309276,21.65290102385834,37.67862216313846,10.879194093525001,44.7049544090452,37.80988119505,82.51054664079,5.0,730.2808002230643,15.0
A2,35.2941176470587,15.0,12.419645763057376,10.0,7.093730050714255,8.958635279868778,5.3106746068833255,4.981054040853446,415.42524286309276,21.65290102385834,37.67862216313846,10.879194093525001,44.7049544090452,37.80988119505,82.51054664079,5.0,730.2808002230643,15.0
A3,35.2941176470587,15.0,12.419645763057376,10.0,7.093730050714255,8.958635279868778,5.3106746068833255,4.981054040853446,415.42524286309276,21.65290102385834,37.67862216313846,10.879194093525001,44.7049544090452,37.80988119505,82.51054664079,5.0,730.2808002230643,15.0
A4,35.294117647058826,15.0,48.97811144846375,10.0,64.95388042687365,15.134268918600664,47.6608547929605,6.922339721601241,329.38211443320023,15.010087892458984,8.51363493095,42.43047583481667,23.4389514701025,20.82262870458719,28.71741755718,5.0,767.7411162211458,15.0
A5,35.294117647058826,15.0,48.97811144846375,10.0,64.95388042687365,15.134268918600664,47.6608547929605,6.922339721601241,329.38211443320023,15.010087892458984,8.51363493095,42.43047583481667,23.4389514701025,20.82262870458719,28.71741755718,5.0,767.7411162211458,15.0
A6,35.294117647058826,15.0,48.97811144846375,10.0,64.95388042687365,15.134268918600664,47.6608547929605,6.922339721601241,329.38211443320023,15.010087892458984,8.51363493095,42.43047583481667,23.4389514701025,20.82262870458719,28.71741755718,5.0,767.7411162211458,15.0
A7,35.29411764705884,15.0,11.596275912007501,10.0,19.776522695909673,14.18756918269631,6.0979145023404255,6.961510974630185,315.19895447662896,39.31407230341432,20.386606154725005,9.710868797669166,49.69783471548071,14.854610608405,8.598731219035363,5.0,903.3244108099985,15.0
A8,35.29411764705884,15.0,11.596275912007501,10.0,19.776522695909673,14.18756918269631,6.0979145023404255,6.961510974630185,315.19895447662896,39.31407230341432,20.386606154725005,9.710868797669166,49.69783471548071,14.854610608405,8.598731219035363,5.0,903.3244108099985,15.0
B1,35.29411764705884,15.0,11.596275912007501,10.0,19.776522695909673,14.18756918269631,6.0979145023404255,6.961510974630185,315.19895447662896,39.31407230341432,20.386606154725005,9.710868797669166,49.69783471548071,14.854610608405,8.598731219035363,5.0,903.3244108099985,15.0
B2,35.29411764705854,15.0,39.328858879625,10.0,5.35574425891179,22.60718708051862,36.804401308255,5.133409384330837,282.1792313523724,102.50034127826277,23.86317049747621,37.92643651938334,11.8086115435625,6.878320646875,6.750655653572962,5.0,838.5695139497951,15.0
B3,35.29411764705854,15.0,39.328858879625,10.0,5.35574425891179,22.60718708051862,36.804401308255,5.133409384330837,282.1792313523724,102.50034127826277,23.86317049747621,37.92643651938334,11.8086115435625,6.878320646875,6.750655653572962,5.0,838.5695139497951,15.0
B4,35.29411764705854,15.0,39.328858879625,10.0,5.35574425891179,22.60718708051862,36.804401308255,5.133409384330837,282.1792313523724,102.50034127826277,23.86317049747621,37.92643651938334,11.8086115435625,6.878320646875,6.750655653572962,5.0,838.5695139497951,15.0
B5,35.29411764705915,15.0,8.26221530451875,10.0,12.432579663092104,12.708293980824154,15.8715022426115,7.996415351837345,31.594799102414015,69.70604450420812,41.2043492939375,38.483126532700005,42.32729288409785,28.150137532012497,14.291932411441849,5.0,1096.6771935492452,15.0
B6,35.29411764705915,15.0,8.26221530451875,10.0,12.432579663092104,12.708293980824154,15.8715022426115,7.996415351837345,31.594799102414015,69.70604450420812,41.2043492939375,38.483126532700005,42.32729288409785,28.150137532012497,14.291932411441849,5.0,1096.6771935492452,15.0
