Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL],order
P1,B1,P2,A1,15.0,5
P1,B1,P2,B1,15.0,5
P1,B1,P2,C1,15.0,5
P1,B1,P2,D1,15.0,5
P1,B1,P2,E1,15.0,5
P1,B1,P2,F1,15.0,5
P1,B1,P2,A2,15.0,5
P1,B1,P2,B2,15.0,5
P1,B1,P2,C2,15.0,5
P1,B1,P2,D2,15.0,5
P1,B1,P2,E2,15.0,5
P1,B1,P2,F2,15.0,5
P1,B1,P2,A3,15.0,5
P1,B1,P2,B3,15.0,5
P1,B1,P2,C3,15.0,5
P1,B1,P2,D3,15.0,5
P1,B1,P2,E3,15.0,5
P1,B1,P2,F3,15.0,5
P1,B1,P2,A4,15.0,5
P1,B1,P2,B4,15.0,5
P1,B1,P2,C4,15.0,5
P1,B1,P2,D4,15.0,5
P1,B1,P2,E4,15.0,5
P1,B1,P2,F4,15.0,5
P1,B1,P2,A5,15.0,5
P1,B1,P2,B5,15.0,5
P1,B1,P2,C5,15.0,5
P1,B1,P2,D5,15.0,5
P1,B1,P2,E5,15.0,5
P1,B1,P2,F5,15.0,5
P1,B1,P2,A6,15.0,5
P1,B1,P2,B6,15.0,5
P1,B1,P2,C6,15.0,5
P1,B1,P2,D6,15.0,5
P1,B1,P2,E6,15.0,5
P1,B1,P2,F6,15.0,5
P1,B1,P2,A7,15.0,5
P1,B1,P2,B7,15.0,5
P1,B1,P2,C7,15.0,5
P1,B1,P2,D7,15.0,5
P1,B1,P2,E7,15.0,5
P1,B1,P2,F7,15.0,5
P1,B1,P2,A8,15.0,5
P1,B1,P2,B8,15.0,5
P1,B1,P2,C8,15.0,5
P1,B1,P2,D8,15.0,5
P1,B1,P2,E8,15.0,5
P1,B1,P2,F8,15.0,5
P4,A1,P2,D1,25.4911125,5
P4,A1,P2,E1,25.4911125,5
P4,A1,P2,F1,25.4911125,5
P4,A1,P2,A2,7.3971875,5
P4,A1,P2,B2,7.3971875,5
P4,A1,P2,C2,7.3971875,5
P1,C1,P2,D2,7.028314375000001,5
P1,C1,P2,E2,7.028314375000001,5
P1,C1,P2,F2,7.028314375000001,5
P1,C1,P2,A3,7.028275000000001,5
P1,C1,P2,B3,7.028275000000001,5
P1,C1,P2,C3,7.028275000000001,5
P1,C1,P2,D3,7.028616250000001,5
P1,C1,P2,E3,7.028616250000001,5
P1,C1,P2,F3,7.028616250000001,5
P1,C1,P2,A4,12.737115625000001,5
P1,C1,P2,B4,12.737115625000001,5
P1,C1,P2,C4,12.737115625000001,5
P1,C1,P2,D4,7.632138125000001,5
P1,C1,P2,E4,7.632138125000001,5
P1,C1,P2,F4,7.632138125000001,5
P1,C1,P2,A5,8.195060625,5
P1,C1,P2,B5,8.195060625,5
P1,C1,P2,C5,8.195060625,5
P1,C1,P2,D5,8.257159375,5
P1,C1,P2,E5,8.257159375,5
P1,C1,P2,F5,8.257159375,5
P1,C1,P2,A6,7.36272125,5
P1,C1,P2,B6,7.36272125,5
P1,C1,P2,C6,7.36272125,5
P1,C1,P2,D6,7.484768125,5
P1,C1,P2,E6,7.484768125,5
P1,C1,P2,F6,7.484768125,5
P1,C1,P2,A7,6.532782500000001,5
P1,C1,P2,B7,6.532782500000001,5
P1,C1,P2,C7,6.532782500000001,5
P1,C1,P2,D7,7.690441875,5
P1,C1,P2,E7,7.690441875,5
P1,C1,P2,F7,7.690441875,5
P1,C1,P2,A8,7.130243125,5
P1,C1,P2,B8,7.130243125,5
P1,C1,P2,C8,7.130243125,5
P1,D1,P2,A1,10.0,5
P1,D1,P2,B1,10.0,5
P1,D1,P2,C1,10.0,5
P1,D1,P2,D1,10.0,5
P1,D1,P2,E1,10.0,5
P1,D1,P2,F1,10.0,5
P1,D1,P2,A2,10.0,5
P1,D1,P2,B2,10.0,5
P1,D1,P2,C2,10.0,5
P1,D1,P2,D2,10.0,5
P1,D1,P2,E2,10.0,5
P1,D1,P2,F2,10.0,5
P1,D1,P2,A3,10.0,5
P1,D1,P2,B3,10.0,5
P1,D1,P2,C3,10.0,5
P1,D1,P2,D3,10.0,5
P1,D1,P2,E3,10.0,5
P1,D1,P2,F3,10.0,5
P1,D1,P2,A4,10.0,5
P1,D1,P2,B4,10.0,5
P1,D1,P2,C4,10.0,5
P1,D1,P2,D4,10.0,5
P1,D1,P2,E4,10.0,5
P1,D1,P2,F4,10.0,5
P1,D1,P2,A5,10.0,5
P1,D1,P2,B5,10.0,5
P1,D1,P2,C5,10.0,5
P1,D1,P2,D5,10.0,5
P1,D1,P2,E5,10.0,5
P1,D1,P2,F5,10.0,5
