Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P1,A1,P2,A1,35.29411764705877
P1,A1,P2,A2,35.29411764705877
P1,A1,P2,A3,35.29411764705877
P1,A1,P2,A4,35.29411764705863
P1,A1,P2,A5,35.29411764705863
P1,A1,P2,A6,35.29411764705863
P1,A1,P2,A7,35.29411764705874
P1,A1,P2,A8,35.29411764705874
P1,A1,P2,B1,35.29411764705874
P1,A1,P2,B2,35.29411764705843
P1,A1,P2,B3,35.29411764705843
P1,A1,P2,B4,35.29411764705843
P1,A1,P2,B5,35.294117647059124
P1,A1,P2,B6,35.294117647059124
P1,A1,P2,B7,35.294117647059124
P1,A1,P2,B8,35.294117647058556
P1,A1,P2,C1,35.294117647058556
P1,A1,P2,C2,35.294117647058556
P1,A1,P2,C3,35.29411764705871
P1,A1,P2,C4,35.29411764705871
P1,A1,P2,C5,35.29411764705871
P1,A1,P2,C6,35.29411764705897
P1,A1,P2,C7,35.29411764705897
P1,A1,P2,C8,35.29411764705897
P1,A1,P2,D1,35.29411764705878
P1,A1,P2,D2,35.29411764705878
P1,A1,P2,D3,35.29411764705878
P1,A1,P2,D4,35.294117647059124
P1,A1,P2,D5,35.294117647059124
P1,A1,P2,D6,35.294117647059124
P1,A1,P2,D7,35.294117647058926
P1,A1,P2,D8,35.294117647058926
P1,A1,P2,E1,35.294117647058926
P1,A1,P2,E2,35.29411764705861
P1,A1,P2,E3,35.29411764705861
P1,A1,P2,E4,35.29411764705861
P1,A1,P2,E5,35.29411764705863
P1,A1,P2,E6,35.29411764705863
P1,A1,P2,E7,35.29411764705863
P1,A1,P2,E8,35.29411764705867
P1,A1,P2,F1,35.29411764705867
P1,A1,P2,F2,35.29411764705867
P1,A1,P2,F3,35.29411764705881
P1,A1,P2,F4,35.29411764705881
P1,A1,P2,F5,35.29411764705881
P1,A1,P2,F6,35.29411764705864
P1,A1,P2,F7,35.29411764705864
P1,A1,P2,F8,35.29411764705864
P4,A1,P2,A4,48.97811144846375
P4,A1,P2,A5,48.97811144846375
P4,A1,P2,A6,48.97811144846375
P4,A1,P2,B2,39.328858879625
P4,A1,P2,B3,39.328858879625
P4,A1,P2,B4,39.328858879625
P4,A1,P2,B8,36.19883554506875
P4,A1,P2,C1,36.19883554506875
P4,A1,P2,C2,36.19883554506875
P4,A1,P2,C3,44.618202531641245
P4,A1,P2,C4,44.618202531641245
P4,A1,P2,C5,44.618202531641245
P4,A1,P2,C6,31.230550405793753
P4,A1,P2,C7,31.230550405793753
P4,A1,P2,C8,31.230550405793753
P4,A1,P2,D4,41.342176595908754
P4,A1,P2,D5,41.342176595908754
P4,A1,P2,D6,41.342176595908754
P4,A1,P2,F6,48.7730406483675
P4,A1,P2,F7,48.7730406483675
P4,A1,P2,F8,48.7730406483675
P1,A2,P2,A4,64.95388042687365
P1,A2,P2,A5,64.95388042687365
P1,A2,P2,A6,64.95388042687365
P4,B1,P2,A7,57.35191581813805
P4,B1,P2,A8,57.35191581813805
P4,B1,P2,B1,57.35191581813805
P4,B1,P2,B5,36.0544810229671
P4,B1,P2,B6,36.0544810229671
P4,B1,P2,B7,36.0544810229671
P1,A2,P2,B8,92.91401086069307
P1,A2,P2,C1,92.91401086069307
P1,A2,P2,C2,92.91401086069307
P4,B1,P2,C3,67.49804004928475
P4,B1,P2,C4,67.49804004928475
P4,B1,P2,C5,67.49804004928475
P1,A2,P2,E2,95.25445865721562
P1,A2,P2,E3,95.25445865721562
P1,A2,P2,E4,95.25445865721562
P1,A2,P2,E5,34.43695909509157
P1,A2,P2,E6,34.43695909509157
P1,A2,P2,E7,34.43695909509157
P1,A2,P2,E8,40.43442086868604
P1,A2,P2,F1,40.43442086868604
P1,A2,P2,F2,40.43442086868604
P4,B1,P2,F3,63.746520788355944
P4,B1,P2,F4,63.746520788355944
P4,B1,P2,F5,63.746520788355944
P5,B1,P2,A4,47.6608547929605
P5,B1,P2,A5,47.6608547929605
P5,B1,P2,A6,47.6608547929605
P5,B1,P2,B2,36.804401308255
P5,B1,P2,B3,36.804401308255
P5,B1,P2,B4,36.804401308255
P5,B1,P2,E8,43.1649927627405
P5,B1,P2,F1,43.1649927627405
P5,B1,P2,F2,43.1649927627405
P5,B1,P2,F6,49.265632191646006
P5,B1,P2,F7,49.265632191646006
P5,B1,P2,F8,49.265632191646006
