,Line Name,OD340,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Condition,condition
0,C1_WA1_A3-R1,0.2076,40.0,4.0,0.019871,20.0,0.205718,2.36508,0.021243,6.375749,4.320423,21.652901,2.3e-05,0.001306,0.0001,0.0008,0.0001,0.05,C1_WA1_A3,C1_WA1_A3
1,C1_WA1_A3-R2,0.2149,40.0,4.0,0.019871,20.0,0.205718,2.36508,0.021243,6.375749,4.320423,21.652901,2.3e-05,0.001306,0.0001,0.0008,0.0001,0.05,C1_WA1_A3,C1_WA1_A3
2,C1_WA1_A3-R3,0.2124,40.0,4.0,0.019871,20.0,0.205718,2.36508,0.021243,6.375749,4.320423,21.652901,2.3e-05,0.001306,0.0001,0.0008,0.0001,0.05,C1_WA1_A3,C1_WA1_A3
3,C1_WA4_A6-R1,0.1955,40.0,4.0,0.003918,20.0,1.883663,0.799089,0.009532,8.860595,3.425574,15.010088,0.000102,0.000255,0.0001,0.0008,0.0001,0.05,C1_WA4_A6,C1_WA4_A6
4,C1_WA4_A6-R2,0.1859,40.0,4.0,0.003918,20.0,1.883663,0.799089,0.009532,8.860595,3.425574,15.010088,0.000102,0.000255,0.0001,0.0008,0.0001,0.05,C1_WA4_A6,C1_WA4_A6
5,C1_WA4_A6-R3,0.1859,40.0,4.0,0.003918,20.0,1.883663,0.799089,0.009532,8.860595,3.425574,15.010088,0.000102,0.000255,0.0001,0.0008,0.0001,0.05,C1_WA4_A6,C1_WA4_A6
6,C1_WA7_B1-R1,0.1986,40.0,4.0,0.000928,20.0,0.114704,0.749104,0.024392,8.910734,3.278069,39.314072,0.000245,0.001165,0.0001,0.0008,0.0001,0.05,C1_WA7_B1,C1_WA7_B1
7,C1_WA7_B1-R2,0.2294,40.0,4.0,0.000928,20.0,0.114704,0.749104,0.024392,8.910734,3.278069,39.314072,0.000245,0.001165,0.0001,0.0008,0.0001,0.05,C1_WA7_B1,C1_WA7_B1
8,C1_WA7_B1-R3,0.1602,40.0,4.0,0.000928,20.0,0.114704,0.749104,0.024392,8.910734,3.278069,39.314072,0.000245,0.001165,0.0001,0.0008,0.0001,0.05,C1_WA7_B1,C1_WA7_B1
9,C1_WB2_B4-R1,0.332,40.0,4.0,0.003146,20.0,0.155317,1.193659,0.007361,6.570764,2.934664,102.500341,1.4e-05,0.000228,0.0001,0.0008,0.0001,0.05,C1_WB2_B4,C1_WB2_B4
10,C1_WB2_B4-R2,0.3046,40.0,4.0,0.003146,20.0,0.155317,1.193659,0.007361,6.570764,2.934664,102.500341,1.4e-05,0.000228,0.0001,0.0008,0.0001,0.05,C1_WB2_B4,C1_WB2_B4
11,C1_WB2_B4-R3,0.3278,40.0,4.0,0.003146,20.0,0.155317,1.193659,0.007361,6.570764,2.934664,102.500341,1.4e-05,0.000228,0.0001,0.0008,0.0001,0.05,C1_WB2_B4,C1_WB2_B4
12,C1_WB5_B7-R1,0.2919,40.0,4.0,0.000661,20.0,0.072109,0.670998,0.003174,10.235412,0.328586,69.706045,2.5e-05,0.000231,0.0001,0.0008,0.0001,0.05,C1_WB5_B7,C1_WB5_B7
13,C1_WB5_B7-R2,0.2755,40.0,4.0,0.000661,20.0,0.072109,0.670998,0.003174,10.235412,0.328586,69.706045,2.5e-05,0.000231,0.0001,0.0008,0.0001,0.05,C1_WB5_B7,C1_WB5_B7
14,C1_WB5_B7-R3,0.2614,40.0,4.0,0.000661,20.0,0.072109,0.670998,0.003174,10.235412,0.328586,69.706045,2.5e-05,0.000231,0.0001,0.0008,0.0001,0.05,C1_WB5_B7,C1_WB5_B7
15,C1_WB8_C2-R2,0.6137,40.0,4.0,0.002896,20.0,2.694506,2.705554,0.004145,10.05364,0.203426,392.187867,2.1e-05,0.000674,0.0001,0.0008,0.0001,0.05,C1_WB8_C2,C1_WB8_C2
16,C1_WB8_C2-R3,0.5906,40.0,4.0,0.002896,20.0,2.694506,2.705554,0.004145,10.05364,0.203426,392.187867,2.1e-05,0.000674,0.0001,0.0008,0.0001,0.05,C1_WB8_C2,C1_WB8_C2
17,C1_WC3_C5-R1,0.2658,40.0,4.0,0.003569,20.0,0.134996,5.140924,0.099996,13.04173,0.137271,13.077057,6.3e-05,0.000118,0.0001,0.0008,0.0001,0.05,C1_WC3_C5,C1_WC3_C5
18,C1_WC3_C5-R2,0.2692,40.0,4.0,0.003569,20.0,0.134996,5.140924,0.099996,13.04173,0.137271,13.077057,6.3e-05,0.000118,0.0001,0.0008,0.0001,0.05,C1_WC3_C5,C1_WC3_C5
19,C1_WC3_C5-R3,0.267,40.0,4.0,0.003569,20.0,0.134996,5.140924,0.099996,13.04173,0.137271,13.077057,6.3e-05,0.000118,0.0001,0.0008,0.0001,0.05,C1_WC3_C5,C1_WC3_C5
20,C1_WC6_C8-R1,0.3092,40.0,4.0,0.002498,20.0,0.478785,5.697716,0.005074,12.572632,2.474319,34.381185,0.000199,0.000266,0.0001,0.0008,0.0001,0.05,C1_WC6_C8,C1_WC6_C8
21,C1_WC6_C8-R2,0.3356,40.0,4.0,0.002498,20.0,0.478785,5.697716,0.005074,12.572632,2.474319,34.381185,0.000199,0.000266,0.0001,0.0008,0.0001,0.05,C1_WC6_C8,C1_WC6_C8
22,C1_WC6_C8-R3,0.3509,40.0,4.0,0.002498,20.0,0.478785,5.697716,0.005074,12.572632,2.474319,34.381185,0.000199,0.000266,0.0001,0.0008,0.0001,0.05,C1_WC6_C8,C1_WC6_C8
23,C1_WD1_D3-R1,0.2837,40.0,4.0,0.030307,20.0,0.246921,0.344224,0.044398,8.052032,2.115414,373.15833,0.000298,0.001822,0.0001,0.0008,0.0001,0.05,C1_WD1_D3,C1_WD1_D3
24,C1_WD1_D3-R2,0.2538,40.0,4.0,0.030307,20.0,0.246921,0.344224,0.044398,8.052032,2.115414,373.15833,0.000298,0.001822,0.0001,0.0008,0.0001,0.05,C1_WD1_D3,C1_WD1_D3
25,C1_WD1_D3-R3,0.2635,40.0,4.0,0.030307,20.0,0.246921,0.344224,0.044398,8.052032,2.115414,373.15833,0.000298,0.001822,0.0001,0.0008,0.0001,0.05,C1_WD1_D3,C1_WD1_D3
26,C1_WD4_D6-R1,0.4791,40.0,4.0,0.003307,20.0,0.220806,1.373433,0.002769,7.072113,0.162127,474.641165,2.9e-05,0.000468,0.0001,0.0008,0.0001,0.05,C1_WD4_D6,C1_WD4_D6
27,C1_WD4_D6-R2,0.4794,40.0,4.0,0.003307,20.0,0.220806,1.373433,0.002769,7.072113,0.162127,474.641165,2.9e-05,0.000468,0.0001,0.0008,0.0001,0.05,C1_WD4_D6,C1_WD4_D6
28,C1_WD4_D6-R3,0.5003,40.0,4.0,0.003307,20.0,0.220806,1.373433,0.002769,7.072113,0.162127,474.641165,2.9e-05,0.000468,0.0001,0.0008,0.0001,0.05,C1_WD4_D6,C1_WD4_D6
29,C1_WD7_E1-R1,0.5691,40.0,4.0,0.001665,20.0,0.388632,4.190736,0.061205,10.698388,0.286551,304.495309,0.000247,0.002235,0.0001,0.0008,0.0001,0.05,C1_WD7_E1,C1_WD7_E1
30,C1_WD7_E1-R2,0.5769,40.0,4.0,0.001665,20.0,0.388632,4.190736,0.061205,10.698388,0.286551,304.495309,0.000247,0.002235,0.0001,0.0008,0.0001,0.05,C1_WD7_E1,C1_WD7_E1
31,C1_WD7_E1-R3,0.6086,40.0,4.0,0.001665,20.0,0.388632,4.190736,0.061205,10.698388,0.286551,304.495309,0.000247,0.002235,0.0001,0.0008,0.0001,0.05,C1_WD7_E1,C1_WD7_E1
32,C1_WE2_E4-R1,0.2502,40.0,4.0,0.039823,20.0,2.762379,6.488607,0.005635,9.196312,1.635182,9.08179,1.2e-05,0.000286,0.0001,0.0008,0.0001,0.05,C1_WE2_E4,C1_WE2_E4
