Source Position,Source Well,Destination Position,Destination Well,Transfer Volume [uL]
P3,A1,P2,A1,179.4059867752459
P3,A1,P2,A1,179.4059867752459
P3,A1,P2,A1,179.4059867752459
P3,A1,P2,B1,179.4059867752459
P3,A1,P2,B1,179.4059867752459
P3,A1,P2,B1,179.4059867752459
P3,A1,P2,C1,179.4059867752459
P3,A1,P2,C1,179.4059867752459
P3,A1,P2,C1,179.4059867752459
P3,A1,P2,D1,149.37637415580198
P3,A1,P2,D1,149.37637415580198
P3,A1,P2,D1,149.37637415580198
P3,A1,P2,D1,149.37637415580198
P3,A1,P2,E1,149.37637415580198
P3,A1,P2,E1,149.37637415580198
P3,A1,P2,E1,149.37637415580198
P3,A1,P2,E1,149.37637415580198
P3,A1,P2,F1,149.37637415580198
P3,A1,P2,F1,149.37637415580198
P3,A1,P2,F1,149.37637415580198
P3,A1,P2,F1,149.37637415580198
P3,A1,P2,A2,165.6175729709646
P3,A1,P2,A2,165.6175729709646
P3,A1,P2,A2,165.6175729709646
P3,A1,P2,A2,165.6175729709646
P3,A1,P2,B2,165.6175729709646
P3,A1,P2,B2,165.6175729709646
P3,A1,P2,B2,165.6175729709646
P3,A1,P2,B2,165.6175729709646
P3,A1,P2,C2,165.6175729709646
P3,A1,P2,C2,165.6175729709646
P3,A1,P2,C2,165.6175729709646
P3,A1,P2,C2,165.6175729709646
P3,A1,P2,D2,168.849993118727
P3,A1,P2,D2,168.849993118727
P3,A1,P2,D2,168.849993118727
P3,A1,P2,D2,168.849993118727
P3,A1,P2,E2,168.849993118727
P3,A1,P2,E2,168.849993118727
P3,A1,P2,E2,168.849993118727
P3,A1,P2,E2,168.849993118727
P3,A1,P2,F2,168.849993118727
P3,A1,P2,F2,168.849993118727
P3,A1,P2,F2,168.849993118727
P3,A1,P2,F2,168.849993118727
P3,A1,P2,A3,189.46853900262636
P3,A1,P2,A3,189.46853900262636
P3,A1,P2,A3,189.46853900262636
P3,A1,P2,B3,189.46853900262636
P3,A1,P2,B3,189.46853900262636
P3,A1,P2,B3,189.46853900262636
P3,A1,P2,C3,189.46853900262636
P3,A1,P2,C3,189.46853900262636
P3,A1,P2,C3,189.46853900262636
P3,A1,P2,D3,167.8659328774941
P3,A1,P2,D3,167.8659328774941
P3,A1,P2,D3,167.8659328774941
P3,A1,P2,D3,167.8659328774941
P3,A1,P2,E3,167.8659328774941
P3,A1,P2,E3,167.8659328774941
P3,A1,P2,E3,167.8659328774941
P3,A1,P2,E3,167.8659328774941
P3,A1,P2,F3,167.8659328774941
P3,A1,P2,F3,167.8659328774941
P3,A1,P2,F3,167.8659328774941
P3,A1,P2,F3,167.8659328774941
P3,A1,P2,A4,179.86371651766976
P3,A1,P2,A4,179.86371651766976
P3,A1,P2,A4,179.86371651766976
P3,A1,P2,B4,179.86371651766976
P3,A1,P2,B4,179.86371651766976
P3,A1,P2,B4,179.86371651766976
P3,A1,P2,C4,179.86371651766976
P3,A1,P2,C4,179.86371651766976
P3,A1,P2,C4,179.86371651766976
P3,A1,P2,D4,189.05292245919202
P3,A1,P2,D4,189.05292245919202
P3,A1,P2,D4,189.05292245919202
P3,A1,P2,E4,189.05292245919202
P3,A1,P2,E4,189.05292245919202
P3,A1,P2,E4,189.05292245919202
P3,A1,P2,F4,189.05292245919202
P3,A1,P2,F4,189.05292245919202
P3,A1,P2,F4,189.05292245919202
P3,A1,P2,A5,145.54296096538903
P3,A1,P2,A5,145.54296096538903
P3,A1,P2,A5,145.54296096538903
P3,A1,P2,A5,145.54296096538903
P3,A1,P2,B5,145.54296096538903
P3,A1,P2,B5,145.54296096538903
P3,A1,P2,B5,145.54296096538903
P3,A1,P2,B5,145.54296096538903
P3,A1,P2,C5,145.54296096538903
P3,A1,P2,C5,145.54296096538903
P3,A1,P2,C5,145.54296096538903
P3,A1,P2,C5,145.54296096538903
P3,A1,P2,D5,177.8015384370238
P3,A1,P2,D5,177.8015384370238
P3,A1,P2,D5,177.8015384370238
P3,A1,P2,D5,177.8015384370238
P3,A1,P2,E5,177.8015384370238
P3,A1,P2,E5,177.8015384370238
P3,A1,P2,E5,177.8015384370238
P3,A1,P2,E5,177.8015384370238
P3,A1,P2,F5,177.8015384370238
P3,A1,P2,F5,177.8015384370238
P3,A1,P2,F5,177.8015384370238
P3,A1,P2,F5,177.8015384370238
P3,A1,P2,A6,150.8645161497609
P3,A1,P2,A6,150.8645161497609
P3,A1,P2,A6,150.8645161497609
P3,A1,P2,A6,150.8645161497609
P3,A1,P2,B6,150.8645161497609
P3,A1,P2,B6,150.8645161497609
P3,A1,P2,B6,150.8645161497609
P3,A1,P2,B6,150.8645161497609
P3,A1,P2,C6,150.8645161497609
P3,A1,P2,C6,150.8645161497609
P3,A1,P2,C6,150.8645161497609
P3,A1,P2,C6,150.8645161497609
P3,A1,P2,D6,155.0379080790783
P3,A1,P2,D6,155.0379080790783
P3,A1,P2,D6,155.0379080790783
P3,A1,P2,D6,155.0379080790783
P3,A1,P2,E6,155.0379080790783
P3,A1,P2,E6,155.0379080790783
P3,A1,P2,E6,155.0379080790783
P3,A1,P2,E6,155.0379080790783
P3,A1,P2,F6,155.0379080790783
P3,A1,P2,F6,155.0379080790783
P3,A1,P2,F6,155.0379080790783
P3,A1,P2,F6,155.0379080790783
P3,A1,P2,A7,151.9482353189387
P3,A1,P2,A7,151.9482353189387
P3,A1,P2,A7,151.9482353189387
P3,A1,P2,A7,151.9482353189387
P3,A1,P2,B7,151.9482353189387
P3,A1,P2,B7,151.9482353189387
P3,A1,P2,B7,151.9482353189387
P3,A1,P2,B7,151.9482353189387
P3,A1,P2,C7,151.9482353189387
P3,A1,P2,C7,151.9482353189387
P3,A1,P2,C7,151.9482353189387
P3,A1,P2,C7,151.9482353189387
P3,A1,P2,D7,181.53308547718544
P3,A1,P2,D7,181.53308547718544
P3,A1,P2,D7,181.53308547718544
P3,A1,P2,E7,181.53308547718544
P3,A1,P2,E7,181.53308547718544
P3,A1,P2,E7,181.53308547718544
P3,A1,P2,F7,181.53308547718544
P3,A1,P2,F7,181.53308547718544
P3,A1,P2,F7,181.53308547718544
P3,A1,P2,A8,173.06336182898428
P3,A1,P2,A8,173.06336182898428
P3,A1,P2,A8,173.06336182898428
P3,A1,P2,A8,173.06336182898428
P3,A1,P2,B8,173.06336182898428
P3,A1,P2,B8,173.06336182898428
P3,A1,P2,B8,173.06336182898428
P3,A1,P2,B8,173.06336182898428
P3,A1,P2,C8,173.06336182898428
P3,A1,P2,C8,173.06336182898428
P3,A1,P2,C8,173.06336182898428
P3,A1,P2,C8,173.06336182898428
P3,A1,P2,D8,185.49168627344312
P3,A1,P2,D8,185.49168627344312
P3,A1,P2,D8,185.49168627344312
P3,A1,P2,D8,185.49168627344312
P3,A1,P2,D8,185.49168627344312
P3,A1,P2,E8,185.49168627344312
P3,A1,P2,E8,185.49168627344312
P3,A1,P2,E8,185.49168627344312
P3,A1,P2,E8,185.49168627344312
P3,A1,P2,E8,185.49168627344312
P3,A1,P2,F8,185.49168627344312
P3,A1,P2,F8,185.49168627344312
P3,A1,P2,F8,185.49168627344312
P3,A1,P2,F8,185.49168627344312
