Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],Kan[g/l],Water,Culture
A1,35.29411764705878,15.0,22.854689094657065,10.0,47.86412275519774,19.13814329510335,52.8356456551955,10.955542239901062,73.30416347426922,44.602735860337496,20.864991761612025,30.822547143350004,50.0,50.0,50.0,5.0,946.4633010733178,15.0
A2,35.29411764705878,15.0,22.854689094657065,10.0,47.86412275519774,19.13814329510335,52.8356456551955,10.955542239901062,73.30416347426922,44.602735860337496,20.864991761612025,30.822547143350004,50.0,50.0,50.0,5.0,946.4633010733178,15.0
A3,35.29411764705878,15.0,22.854689094657065,10.0,47.86412275519774,19.13814329510335,52.8356456551955,10.955542239901062,73.30416347426922,44.602735860337496,20.864991761612025,30.822547143350004,50.0,50.0,50.0,5.0,946.4633010733178,15.0
A4,35.294117647058876,15.0,51.14040862762875,10.0,9.860036226092504,21.105549231191695,18.02851289955525,6.766998656230166,7.725030808022818,334.83556494596553,22.958878590725003,10.789840545528374,50.0,50.0,50.0,5.0,786.495061822001,15.0
A5,35.294117647058876,15.0,51.14040862762875,10.0,9.860036226092504,21.105549231191695,18.02851289955525,6.766998656230166,7.725030808022818,334.83556494596553,22.958878590725003,10.789840545528374,50.0,50.0,50.0,5.0,786.495061822001,15.0
A6,35.294117647058876,15.0,51.14040862762875,10.0,9.860036226092504,21.105549231191695,18.02851289955525,6.766998656230166,7.725030808022818,334.83556494596553,22.958878590725003,10.789840545528374,50.0,50.0,50.0,5.0,786.495061822001,15.0
A7,35.29411764705895,15.0,34.46282520964875,10.0,18.5934992610616,10.773737789268417,31.304839331535504,9.185881057580133,377.45377106836213,29.412474332091975,11.031426218436513,22.3441304546975,50.0,50.0,50.0,5.0,725.1432976302585,15.0
A8,35.29411764705895,15.0,34.46282520964875,10.0,18.5934992610616,10.773737789268417,31.304839331535504,9.185881057580133,377.45377106836213,29.412474332091975,11.031426218436513,22.3441304546975,50.0,50.0,50.0,5.0,725.1432976302585,15.0
B1,35.29411764705895,15.0,34.46282520964875,10.0,18.5934992610616,10.773737789268417,31.304839331535504,9.185881057580133,377.45377106836213,29.412474332091975,11.031426218436513,22.3441304546975,50.0,50.0,50.0,5.0,725.1432976302585,15.0
B2,35.29411764705843,15.0,20.421456886686187,10.0,25.10662384308113,17.543920025139478,18.911362446322,11.161574410333767,24.658977730387935,28.62621503643628,16.754328318604216,14.22049126008763,50.0,50.0,50.0,5.0,1092.300932395863,15.0
B3,35.29411764705843,15.0,20.421456886686187,10.0,25.10662384308113,17.543920025139478,18.911362446322,11.161574410333767,24.658977730387935,28.62621503643628,16.754328318604216,14.22049126008763,50.0,50.0,50.0,5.0,1092.300932395863,15.0
B4,35.29411764705843,15.0,20.421456886686187,10.0,25.10662384308113,17.543920025139478,18.911362446322,11.161574410333767,24.658977730387935,28.62621503643628,16.754328318604216,14.22049126008763,50.0,50.0,50.0,5.0,1092.300932395863,15.0
B5,35.2941176470587,15.0,14.211105434337124,10.0,9.154663560880897,15.71345581717457,44.7094808644395,8.581284141106073,90.63801847178514,436.85603057262085,5.62720242473086,17.253756733294168,50.0,50.0,50.0,5.0,626.9608843325722,15.0
B6,35.2941176470587,15.0,14.211105434337124,10.0,9.154663560880897,15.71345581717457,44.7094808644395,8.581284141106073,90.63801847178514,436.85603057262085,5.62720242473086,17.253756733294168,50.0,50.0,50.0,5.0,626.9608843325722,15.0
B7,35.2941176470587,15.0,14.211105434337124,10.0,9.154663560880897,15.71345581717457,44.7094808644395,8.581284141106073,90.63801847178514,436.85603057262085,5.62720242473086,17.253756733294168,50.0,50.0,50.0,5.0,626.9608843325722,15.0
B8,35.2941176470587,15.0,17.388481530443812,10.0,6.586629592224472,14.13262562702094,13.0024412469838,10.121990379002282,38.142327101476184,461.3654778293039,12.607212408916668,12.959353449981666,50.0,50.0,50.0,5.0,683.3993431875875,15.0
C1,35.2941176470587,15.0,17.388481530443812,10.0,6.586629592224472,14.13262562702094,13.0024412469838,10.121990379002282,38.142327101476184,461.3654778293039,12.607212408916668,12.959353449981666,50.0,50.0,50.0,5.0,683.3993431875875,15.0
